apinum	kind	endpoint_op	cat1	cat2	name
1	wms	getBuildingAgeWMS	공간융합 개방데이터	건축물연령정보	건축물연령WMS조회
2	wfs	getBuildingAgeWFS	공간융합 개방데이터	건축물연령정보	건축물연령WFS조회
3	data	getBuildingAge	공간융합 개방데이터	건축물연령정보	건축물연령속성조회
4	wms	getBuildingUseWMS	공간융합 개방데이터	용도별건물정보	용도별건물WMS조회
5	wfs	getBuildingUseWFS	공간융합 개방데이터	용도별건물정보	용도별건물WFS조회
6	data	getBuildingUse	공간융합 개방데이터	용도별건물정보	용도별건물속성조회
7	wms	getByRegionWMS	공간융합 개방데이터	지가변동률정보	지역별지가변동률WMS조회
8	data	getByRegion	공간융합 개방데이터	지가변동률정보	지역별지가변동률속성조회
9	data	getLargeCLByRegion	공간융합 개방데이터	지가변동률정보	권역별 지가변동률속성조회
10	wms	getByZoningWMS	공간융합 개방데이터	지가변동률정보	용도지역별지가변동률WMS조회
11	data	getByZoning	공간융합 개방데이터	지가변동률정보	용도지역별지가변동률속성조회
12	data	getLargeCLByZoning	공간융합 개방데이터	지가변동률정보	권역별 용도지역별지가변동률속성조회
13	wms	getByLandCategoryWMS	공간융합 개방데이터	지가변동률정보	이용상황별지가변동률WMS조회
14	data	getByLandCategory	공간융합 개방데이터	지가변동률정보	이용상황별지가변동률속성조회
15	data	getLargeCLByLandCategory	공간융합 개방데이터	지가변동률정보	권역별 이용상황별지가변동률속성조회
16	wms	getLandCharacteristicsWMS	공간융합 개방데이터	토지특성정보	토지특성WMS조회
17	wfs	getLandCharacteristicsWFS	공간융합 개방데이터	토지특성정보	토지특성WFS조회
18	data	getLandCharacteristics	공간융합 개방데이터	토지특성정보	토지특성속성조회
19	wms	getGisGnrlBuildingWMS	국가공간 개방데이터	GIS건물일반집합정보	GIS건물일반정보WMS조회
20	wfs	getGisGnrlBuildingWFS	국가공간 개방데이터	GIS건물일반집합정보	GIS건물일반정보WFS조회
21	wms	getGisAggrBuildingWMS	국가공간 개방데이터	GIS건물일반집합정보	GIS건물집합정보WMS조회
22	wfs	getGisAggrBuildingWFS	국가공간 개방데이터	GIS건물일반집합정보	GIS건물집합정보WFS조회
23	wms	getIndvdLandPriceWMS	국가공간 개방데이터	개별공시지가정보	개별공시지가WMS조회
24	wfs	getIndvdLandPriceWFS	국가공간 개방데이터	개별공시지가정보	개별공시지가WFS조회
25	data	getIndvdLandPriceAttr	국가공간 개방데이터	개별공시지가정보	개별공시지가속성조회
26	wms	getIndvdHousingPriceWMS	국가공간 개방데이터	개별주택가격정보	개별주택가격WMS조회
27	wfs	getIndvdHousingPriceWFS	국가공간 개방데이터	개별주택가격정보	개별주택가격WFS조회
