LP_PA_CBND_BUBUN	[{"name": "pnu", "single_search": true, "type": "", "desc": "시도(2) + 시군구(3) + 읍면동(3) + 리(2) + 필지구분(1) + 본번(4) + 부번(4) = 19자리"}, {"name": "jibun", "single_search": false, "type": "", "desc": "지번"}, {"name": "bonbun", "single_search": false, "type": "", "desc": "본번"}, {"name": "bubun", "single_search": false, "type": "", "desc": "부번"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}, {"name": "addr", "single_search": false, "type": "", "desc": "주소"}, {"name": "gosi_year", "single_search": false, "type": "", "desc": "기준년"}, {"name": "gosi_month", "single_search": false, "type": "", "desc": "기준월"}, {"name": "jiga", "single_search": false, "type": "", "desc": "지가"}]
LT_C_UQ111	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ112	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ113	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ114	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ121	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ123	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ124	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ125	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ126	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
LT_C_UQ128	[{"name": "uname", "single_search": false, "type": "", "desc": "용도지역명"}, {"name": "sido_name", "single_search": false, "type": "", "desc": "시도명"}, {"name": "sigg_name", "single_search": false, "type": "", "desc": "시군구명"}, {"name": "dyear", "single_search": false, "type": "", "desc": "고시년도"}, {"name": "dnum", "single_search": false, "type": "", "desc": "고시번호"}, {"name": "ag_geom", "single_search": false, "type": "", "desc": "GEOMETRY 데이터"}]
