data_id	svc_ide	name	cat	geom
LP_PA_CBND_BUBUN	cadastral	연속지적도	연속지적도	Polygon
LT_C_UQ111	uq111	도시지역	도시지역	Polygon
LT_C_UQ112	uq112	관리지역	관리지역	Polygon
LT_C_UQ113	uq113	농림지역	농림지역	Polygon
LT_C_UQ114	uq114	자연환경보전지역	자연환경보전지역	Polygon
LT_C_UQ121	uq121	경관지구	경관지구	Polygon
LT_C_UQ123	uq123	고도지구	고도지구	Polygon
LT_C_UQ124	uq124	방화지구	방화지구	Polygon
LT_C_UQ125	uq125	방재지구	방재지구	Polygon
LT_C_UQ126	uq126	보호지구	보호지구	Polygon
LT_C_UQ128	uq128	취락지구	취락지구	Polygon
LT_C_UQ129	uq129	개발진흥지구	개발진흥지구	Polygon
LT_C_UQ130	uq130	특정용도제한지구	특정용도제한지구	Polygon
LT_C_UQ141	uq141	국토계획구역	국토계획구역	Polygon
LT_C_UQ162	uq162	도시자연공원구역	도시자연공원구역	Polygon
LT_C_UD801	ud801	개발제한구역	개발제한구역	Polygon
LT_C_LHZONE	lhzone	사업지구경계도	사업지구경계도	Polygon
LT_C_LHBLPN	lhblpn	토지이용계획도	토지이용계획도	Polygon
LT_P_UTISCCTV	utiscctv	교통CCTV	교통CCTV	Point
LT_C_USFSFFB	usfsffb	소방서관할구역	소방서관할구역	Polygon
LT_L_SPRD	sprd	도로명주소 도로	도로명주소	Line
LT_C_SPBD	spbd	도로명주소 건물	도로명주소	Polygon
LT_C_ADSIDO_INFO	adsido	광역시도	광역시도	Polygon
LT_C_ADSIGG_INFO	adsigg	시군구	시군구	Polygon
LT_C_ADEMD_INFO	ademd	읍면동	읍면동	Polygon
LT_C_ADRI_INFO	adri	리	리	Polygon
LT_C_DAMDAN	damdan	단지경계	단지경계	Polygon
LT_C_DAMYOD	damyod	단지용도지역	단지용도지역	Polygon
LT_C_DAMYOJ	damyoj	단지시설용지	단지시설용지	Polygon
LT_C_DAMYUCH	damyuch	단지유치업종	단지유치업종	Polygon
LT_P_MGPRTFA	mgprtfa	아동안전지킴이집	아동안전지킴이집	Point
LT_P_MGPRTFB	mgprtfb	노인복지시설	노인복지시설	Point
LT_P_MGPRTFC	mgprtfc	아동복지시설	아동복지시설	Point
LT_P_MGPRTFD	mgprtfd	기타보호시설	기타보호시설	Point
LT_C_WKMBBSN	wkmbbsn	대권역	대권역	Polygon
LT_C_WKMMBSN	wkmmbsn	중권역	중권역	Polygon
LT_C_WKMSBSN	wkmsbsn	표준권역	표준권역	Polygon
LT_C_WKMSTRM	wkmstrm	하천망	하천망	Polygon
LT_L_MOCTLINK	moctlink	교통링크	교통링크	Line
LT_P_MOCTNODE	moctnode	교통노드	교통노드	Point
LT_L_FRSTCLIMB	frstclimb	등산로	등산로	Line
LT_C_AGRIXUE101	agrixue101	농업진흥지역도	농업진흥지역도	Polygon
LT_C_AGRIXUE102	agrixue102	영농여건불리농지도	영농여건불리농지도	Polygon
LT_C_ASITSOILDRA	asitsoildra	배수등급	배수등급	Polygon
LT_C_ASITSURSTON	asitsurston	자갈함량	자갈함량	Polygon
LT_C_ASITSOILDEP	asitsoildep	유효토심	유효토심	Polygon
LT_C_ASITDEEPSOIL	asitdeepsoil	심토토성	심토토성	Polygon
LT_P_SGISGWCHG	sgisgwchg	지하수측정망(오염우려지역)	지하수측정망	Point
LT_P_SGISGOLF	sgisgolf	골프장현황도	골프장현황도	Point
LT_P_WEISPLAFACW	weisplafacw	하수종말처리시설	하수종말처리시설	Point
LT_P_WEISSITEMA	weissitema	수질측정망하천수지점	수질측정망하천수지점	Point
LT_P_WEISSITEMB	weissitemb	수질측정망호소수지점	수질측정망호소수지점	Point
