data_id	svc_ide
LP_PA_CBND_BUBUN	cadastral
LT_C_UQ111	uq111
LT_C_UQ112	uq112
LT_C_UQ113	uq113
LT_C_UQ114	uq114
LT_C_UQ121	uq121
LT_C_UQ123	uq123
LT_C_UQ124	uq124
LT_C_UQ125	uq125
LT_C_UQ126	uq126
LT_C_UQ128	uq128
LT_C_UQ129	uq129
LT_C_UQ130	uq130
LT_C_UQ141	uq141
LT_C_UQ162	uq162
LT_C_UD801	ud801
LT_C_LHZONE	lhzone
LT_C_LHBLPN	lhblpn
LT_P_UTISCCTV	utiscctv
LT_C_USFSFFB	usfsffb
LT_L_SPRD	sprd
LT_C_SPBD	spbd
LT_C_ADSIDO_INFO	adsido
LT_C_ADSIGG_INFO	adsigg
LT_C_ADEMD_INFO	ademd
LT_C_ADRI_INFO	adri
LT_C_DAMDAN	damdan
LT_C_DAMYOD	damyod
LT_C_DAMYOJ	damyoj
LT_C_DAMYUCH	damyuch
LT_P_MGPRTFA	mgprtfa
LT_P_MGPRTFB	mgprtfb
LT_P_MGPRTFC	mgprtfc
LT_P_MGPRTFD	mgprtfd
LT_C_WKMBBSN	wkmbbsn
LT_C_WKMMBSN	wkmmbsn
LT_C_WKMSBSN	wkmsbsn
LT_C_WKMSTRM	wkmstrm
LT_L_MOCTLINK	moctlink
LT_P_MOCTNODE	moctnode
LT_L_FRSTCLIMB	frstclimb
LT_C_AGRIXUE101	agrixue101
LT_C_AGRIXUE102	agrixue102
LT_C_ASITSOILDRA	asitsoildra
LT_C_ASITSURSTON	asitsurston
LT_C_ASITSOILDEP	asitsoildep
LT_C_ASITDEEPSOIL	asitdeepsoil
LT_P_SGISGWCHG	sgisgwchg
LT_P_SGISGOLF	sgisgolf
LT_P_WEISPLAFACW	weisplafacw
LT_P_WEISSITEMA	weissitema
LT_P_WEISSITEMB	weissitemb
LT_P_WEISSITEMD	weissitemd
LT_P_WEISSITEME	weissiteme
LT_P_WEISSITEMF	weissitemf
LT_L_AISPATH	aispath
LT_L_AISROUTEU	aisrouteu
LT_C_AISADZC	aisadzc
LT_C_AISFIRC	aisfirc
LT_C_AISRESC	aisresc
LT_C_AISPRHC	aisprhc
LT_C_AISCTRC	aisctrc
LT_C_AISTMAC	aistmac
LT_C_AISDNGC	aisdngc
LT_C_AISALTC	aisaltc
LT_C_AISCATC	aiscatc
LT_C_AISMOAC	aismoac
LT_C_AISACMC	aisacmc
LT_C_AISRFLC	aisrflc
LT_P_AISHCSTRIP	aishcstrip
LT_C_WGISREPLAN	wgisreplan
LT_C_WGISRECOMP	wgisrecomp
LT_C_WGISIEGUG	wgisiegug
LT_C_WGISIENONG	wgisienong
LT_C_WGISIEILBAN	wgisieilban
LT_C_WGISIEDOSI	wgisiedosi
LT_C_WGISARWET	wgisarwet
LT_C_WGISNPGUG	wgisnpgug
LT_C_WGISNPGUN	wgisnpgun
LT_C_WGISNPDO	wgisnpdo
LT_C_TFISMPA	tfismpa
LT_C_UPISUQ151	upisuq151
LT_C_UPISUQ152	upisuq152
LT_C_UPISUQ153	upisuq153
LT_C_UPISUQ154	upisuq154
LT_C_UPISUQ155	upisuq155
LT_C_UPISUQ156	upisuq156
LT_C_UPISUQ157	upisuq157
LT_C_UPISUQ158	upisuq158
LT_C_UPISUQ159	upisuq159
LT_C_UPISUQ161	upisuq161
LT_C_UPISUQ171	upisuq171
LT_P_NSNMSSITENM	nsnmssitenm
LT_C_UO301	uo301
LT_C_GIMSHYDRO	gimshydro
LT_C_GIMSSTIFF	gimsstiff
LT_L_GIMSEC	gimsec
LT_C_GIMSLINEA	cgimslinea
LT_L_GIMSLINEA	lgimslinea
LT_L_GIMSDEPTH	gimsdepth
LT_L_GIMSPOTEN	gimspoten
LT_L_GIMSDIREC	gimsdirec
LT_C_AISATZC	aisatzc
LT_L_GIMSFAULT	gimsfault
LT_C_GIMSSCS	gimsscs
LT_C_FSDIFRSTS	fsdifrsts
LT_C_KFDRSSIGUGRADE	kfdrssigugrade
LT_C_UB901	ub901
LT_C_UD610	ud610
LT_C_UH402	uh402
LT_C_UH501	uh501
LT_C_UJ401	uj401
LT_C_UM000	um000
LT_C_UM221	um221
LT_C_UM901	um901
LT_C_UO101	uo101
LT_C_UO601	uo601
LT_C_UD620	ud620
LT_C_UD601	ud601
LT_C_UF151	uf151
LT_C_UF602	uf602
LT_C_UF901	uf901
LT_C_UH701	uh701
LT_C_UM710	um710
LT_C_UM301	um301
LT_C_UO501	uo501
LT_C_UP401	up401
LT_C_UP201	up201
LT_P_BYCRACKS	bycracks
LT_C_DGMAINBIZ	dgmainbiz
LT_P_DGTOURISTINFO	dgtouristinfo
LT_P_DGMUSEUMART	dgmuseumart
LT_C_AISUAC	aisuac
LT_C_WGISPL2USE	wgispl2use
LT_C_WGISPL2ABS	wgispl2abs
LT_C_WGISPL2CON	wgispl2con
LT_C_WGISPL2SPA	wgispl2spa
LT_P_TRADSIJANG	tradsijang
LT_P_BUSIINCUBATOR	busiincubator
LT_P_SMALLLIBRARY	smalllibrary
LT_C_AISFLDC	aisfldc
LT_L_AISSEARCHL	aissearchl
LT_P_AISSEARCHP	aissearchp
LT_L_AISVFRPATH	aisvfrpathl
LT_P_AISVFRPATH	aisvfrpathp
LT_L_AISCORRID_YS	aiscorridysl
LT_L_AISCORRID_GJ	aiscorridygjl
LT_P_AISCORRID_YS	aiscorridysp
LT_P_AISCORRID_GJ	aiscorridgjp
LT_C_BLDGINFO	bldginfo
LT_C_DOGPARK	dogpark
LT_C_AISPCA	aispca
LT_C_DESCH	desch
LT_C_DMSCH	dmsch
LT_C_DHSCH	dhsch
LT_C_EADIST	eadist
LT_C_LANDINFOBASEMAP	landinfobasemap
LT_L_N3A0020000	n3a0020000
